Attributes,code,high,low,open,close,adjust,volume_match,value_match
Symbols,FLC,FLC,FLC,FLC,FLC,FLC,FLC,FLC
date,,,,,,,,
2023-07-25,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-24,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-21,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-20,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-19,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-18,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-17,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-14,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-13,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-12,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-11,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-10,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-07,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-06,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-05,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-04,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-07-03,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-30,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-29,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-28,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-27,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-26,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-23,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-22,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-21,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-20,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-19,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-16,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-15,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-14,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-13,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-12,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-09,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-08,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-07,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-06,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-05,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-02,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-06-01,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-31,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-30,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-29,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-26,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-25,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-24,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-23,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-22,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-19,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-18,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-17,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-16,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-15,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-12,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-11,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-10,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-09,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-08,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-05,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-05-04,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-28,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-27,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-26,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-25,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-24,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-21,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-20,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-19,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-18,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-17,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-14,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-13,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-12,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-11,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-10,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-07,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-06,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-05,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-04,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-04-03,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-31,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-30,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-29,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-28,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-27,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-24,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-23,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-22,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-21,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-20,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-17,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-16,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-15,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-14,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-13,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-10,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-09,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-08,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-07,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-06,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
2023-03-03,FLC,3.5,3.5,3.5,3.5,3.5,0.0,0.0
